0.999699,-0.102825
0.998495,-0.104647
0.99609,-0.104582
0.99249,-0.1041
0.987704,-0.102959
0.981743,-0.102478
0.974621,-0.101318
0.966356,-0.100899
0.959454,-0.100295
0.954481,-0.0996752
0.949237,-0.0990621
0.94372,-0.0980696
0.937937,-0.0974454
0.931888,-0.0971499
0.925582,-0.0962316
0.919017,-0.0957689
0.912202,-0.095399
0.905137,-0.0949287
0.897829,-0.0941881
0.89028,-0.0937738
0.882498,-0.093161
0.874483,-0.0929036
0.866245,-0.0920189
0.857784,-0.0914586
0.84911,-0.0906811
0.840223,-0.0900514
0.831134,-0.0889587
0.821843,-0.0884778
0.81236,-0.0876465
0.802687,-0.0865193
0.794506,-0.0859107
0.787818,-0.0853801
0.781129,-0.0847524
0.774329,-0.0841473
0.767418,-0.0837089
0.760507,-0.0830138
0.753492,-0.0822636
0.746375,-0.0815039
0.739257,-0.0807179
0.732045,-0.079825
0.724738,-0.0794387
0.717431,-0.078452
0.710039,-0.0772164
0.70256,-0.0769032
0.695081,-0.0755736
0.687526,-0.074067
0.679894,-0.0740254
0.672261,-0.0725056
0.664561,-0.0714197
0.656794,-0.0712276
0.649026,-0.0695887
0.6412,-0.0676816
0.633316,-0.0668896
0.625432,-0.0661298
0.617499,-0.0634128
0.609518,-0.0623748
0.601536,-0.0606365
0.593515,-0.0584589
0.585455,-0.057586
0.577395,-0.0558971
0.569306,-0.0518923
0.561187,-0.0516288
0.553068,-0.0489244
0.54493,-0.0463633
0.536772,-0.0455956
0.528613,-0.0424692
0.520445,-0.0404673
0.512267,-0.039565
0.504089,-0.0386263
0.495911,-0.0351025
0.487733,-0.0341675
0.479555,-0.0323047
0.471387,-0.0296042
0.463228,-0.0285215
0.45507,-0.0268068
0.446932,-0.0240784
0.438813,-0.0226013
0.430694,-0.0220665
0.422605,-0.0187973
0.414545,-0.0173169
0.406485,-0.0134072
0.398464,-0.0113028
0.390482,-0.00825226
0.382501,-0.00489186
0.374568,-0.00199097
0.366684,-0.00104331
0.3588,-0.000818341
0.350974,-0.000399397
0.343206,-0.00232577
0.335439,-0.00323473
0.327739,-0.00359984
0.320106,-0.00464905
0.312474,-0.00461819
0.304919,-0.00285761
0.29744,-0.00268206
0.289961,-0.00135144
0.282569,0.000658649
0.275262,0.000665168
0.267955,0.00237102
0.260743,0.00418233
0.253625,0.00451437
0.246508,0.00479254
0.239493,0.00711835
0.232582,0.00733562
0.225671,0.00812192
0.218871,0.0101803
0.212182,0.0113292
0.205494,0.0165426
0.197313,0.0224772
0.18764,0.0271166
0.178157,0.03461
0.168866,0.0382572
0.159777,0.0438238
0.15089,0.0492954
0.142216,0.0579879
0.133755,0.0621999
0.125517,0.0763696
0.117502,0.0862683
0.10972,0.0989842
0.102171,0.106241
0.0948632,0.126133
0.0877977,0.131422
0.0809827,0.153154
0.0744182,0.167752
0.0681117,0.186326
0.0620632,0.204448
0.0562805,0.22294
0.0507635,0.235264
0.0455187,0.259306
0.0405462,0.271665
0.033644,0.316278
0.025379,0.407997
0.018257,0.507594
0.0122955,0.679486
0.0075095,1.02594
0.00391,1.29629
0.001505,1.50139
0.000301,1.59844
0.000301,1.51029
0.001505,1.29591
0.00391,1.16325
0.0075095,1.0084
0.0122955,0.803243
0.018257,0.648981
0.025379,0.498086
0.033644,0.447061
0.0405462,0.382681
0.0455187,0.368003
0.0507635,0.341362
0.0562805,0.320483
0.0620632,0.293028
0.0681117,0.273869
0.0744182,0.252707
0.0809827,0.244505
0.0877977,0.218646
0.0948632,0.201103
0.102171,0.182724
0.10972,0.174412
0.117502,0.156109
0.125517,0.150062
0.133755,0.136745
0.142216,0.131245
0.15089,0.119232
0.159777,0.111862
0.168866,0.102088
0.178157,0.097221
0.18764,0.0884607
0.197313,0.0834936
0.205494,0.0763463
0.212182,0.070318
0.218871,0.068264
0.225671,0.0633103
0.232582,0.0635182
0.239493,0.0624511
